FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
195	804	RO	42780	Bistrita	Frumosu	RO	0	0	2866	1172	2000	2021	47.142472	25.861917	2866	0	47.14167	25.85833	47.1421	25.8621	2847	47.1417	25.8583	2866	0
196	805	RO	42057	Ialomita	Ceatal_Izmail	RO	0	0	807000	-999	1990	2009	45.180222	28.8	785915	0	45.24167	28.75833	45.2379	28.7846	790789	45.2417	28.7917	785922	1
197	807	RO	42025	Danube	Zimnicea	RO	0	0	658400	-999	1990	2011	43.630194	25.357306	642273	0	43.625	25.35833	43.6262	25.3554	647711	43.625	25.3583	642273	0
198	808	RO	42714	Siret	Lungoci	RO	0	0	36030	-999	1990	2011	45.556611	27.509972	36425	0	45.55833	27.50833	45.5579	27.5104	36210	45.575	27.5083	36413	1
199	809	RO	42612	Ialomita	Cosereni	RO	0	0	6265	-999	1990	2011	44.696972	26.571694	6251	0	44.69167	26.575	44.6962	26.5721	6375	44.6917	26.575	6251	0
200	811	RO	42318	Olt	Cornet	RO	0	0	13733	-999	1990	2011	45.385111	24.297222	13868	0	45.39167	24.30833	45.3846	24.2979	13845	45.3917	24.3083	13868	0
201	817	HU	442132	Raba	Kormend	HU	0	0	4734	184.15	2015	2021	47.0064	16.6106	4723	0	47.00833	16.60833	47.0063	16.6104	4694	47.0083	16.6083	4723	0
202	818	HU	444567	Crisul_Repede	Korosladany_hid	HU	0	0	8985	80.98	2015	2021	46.953	21.0822	3777	0	46.95833	21.075	46.953	21.082	3776	46.9583	21.075	3777	0
203	822	RS	44201	Stari_Begej	Hetin	RS	0	0	2271	76.69	1991	2021	45.652777	20.798278	1825	0	45.65833	20.80833	45.6521	20.7979	1843	45.675	20.825	1806	1
204	823	RS	42914	Crni_Timok	Gamzigrad	RS	0	0	1213	152.2	1991	2020	43.924319	22.173151	1172	0	43.925	22.175	43.9237	22.1729	1169	43.925	22.175	1172	0
205	831	RS	45837	Lim	Prijepolje	RS	0	0	3160	443.37	1991	2021	43.381888	19.637294	3186	0	43.39167	19.64167	43.3821	19.6379	3041	43.375	19.625	3028	1
206	832	RS	47260	Ibar	Raska	RS	0	0	6270	392.54	1991	2021	43.296433	20.613816	6145	0	43.29167	20.60833	43.2963	20.6137	6154	43.2917	20.6083	6145	0
207	836	HR	4031	Kupa	Ladesic_Draga	HR	0	0	1445	147.84	2009	2021	45.479444	15.367278	1405	0	45.475	15.375	45.4796	15.3671	1506	45.475	15.375	1405	0
208	839	HR	4107	Kupa	Jamnicka_Kiselica	HR	0	0	6895	100.79	1991	2021	45.548611	15.8575	6323	0	45.54167	15.85833	45.548	15.8575	11015	45.5417	15.875	6366	1
209	840	HR	4065	Kupa	Sisinec	HR	0	0	7364	94.81	2009	2021	45.4485	16.077194	6825	0	45.44167	16.075	45.4479	16.0763	11484	45.4417	16.075	6825	0
